id,nom_estab,per_ocu,codigo_act,nombre_act,latitud,longitud
"6886904",DOLCE NATURA,"1","461170",Comercio al por menor de paletas de hielo y helados,20.678302030000001,-103.431989000000002
"8979395",KAMARON,"1","461123",Comercio al por menor de pescados y mariscos,20.673949170000000,-103.428922999999998
"1652806",PALETAS MANHATTAN,"1","461170",Comercio al por menor de paletas de hielo y helados,20.679354419999999,-103.429089899999994
"1652986",LA PALETA,"1","461170",Comercio al por menor de paletas de hielo y helados,20.679733500000001,-103.435709700000004
"1699511",HAAGEN DAZS GALERIAS GUADALAJARA,"3","461170",Comercio al por menor de paletas de hielo y helados,20.678374120000001,-103.429262300000005
"6342543",MI BODEGA SAYULA  2059,"5","462111",Comercio al por menor en supermercados,20.681705019999999,-103.433595699999998
"6343729",SAM S LA ESTANCIA  6395,"6","462111",Comercio al por menor en supermercados,20.680691509999999,-103.430907800000000
"6343728",SUPERCENTER VALLARTA  2342,"6","462111",Comercio al por menor en supermercados,20.680713850000000,-103.431015700000003
"6344738",TIENDAS CHEDRAUI VALLARTA T108,"6","462111",Comercio al por menor en supermercados,20.681904180000000,-103.434551700000000
"8979271",ALMA DEL PAN,"4","311812",Panificaci¢n tradicional,20.680642670000001,-103.437216199999995
"7230308",FRUTAS Y VERDURAS EL PUEBLITO,"1","461130",Comercio al por menor de frutas y verduras frescas,20.679757639999998,-103.434880000000007
"7113427",NON GUILTY,"1","311812",Panificaci¢n tradicional,20.683950729999999,-103.429003100000003
"7113491",MIEL & CANELA,"1","311812",Panificaci¢n tradicional,20.683950729999999,-103.429003100000003
"1640137",IMPORTADORA Y EXPORTADORA EL TIO SAM,"1","466112",Comercio al por menor de electrodom‚sticos menores y aparatos de l¡nea blanca,20.682256190000000,-103.428279099999997
"1699512",BEST BUY,"5","466112",Comercio al por menor de electrodom‚sticos menores y aparatos de l¡nea blanca,20.678410960000001,-103.429253299999999
"1699297",LAS MILY UNA ESPECIES,"1","461140","Comercio al por menor de semillas y granos alimenticios, especias y chiles secos",20.684560780000002,-103.437642800000006
"1640142",PANIFICADORA KAREY,"2","311812",Panificaci¢n tradicional,20.682900230000001,-103.432958099999993
"7113486",VINOS Y LICORES LOSCOMPADRES,"1","461211",Comercio al por menor de vinos y licores,20.681439910000002,-103.434669400000004
"6344902",LA EUROPEA GUADALAJARA,"3","461211",Comercio al por menor de vinos y licores,20.674996190000002,-103.430085099999999
"1699381",DULCERÖA Y PLµSTICOS BETICOLIN,"1","461190",Comercio al por menor de otros alimentos,20.679183210000001,-103.435974700000003
"6337211",PRODUCTOS VERDE VALLE,"7","431150","Comercio al por mayor de semillas y granos alimenticios, especias y chiles secos",20.682204500000001,-103.437585299999995
"1652970",CARNICERIA LOS PRIMOS,"1","461121",Comercio al por menor de carnes rojas,20.679311120000001,-103.434956200000002
"1652991",CARNICERIA,"1","461121",Comercio al por menor de carnes rojas,20.677589579999999,-103.434263799999997
"6420250",COSTCO DE MEXICO SUCURSAL ZAPOPAN,"7","462111",Comercio al por menor en supermercados,20.679130090000001,-103.429143400000001
"6342216",TIENDAS SORIANA GUADALAJARA SUC 132,"6","462111",Comercio al por menor en supermercados,20.675243649999999,-103.429690800000003
"7113429",CARNICERIA UNICA,"1","461121",Comercio al por menor de carnes rojas,20.684138560000001,-103.432498499999994
"8606246",CARNICERIA EL PECHA,"1","461121",Comercio al por menor de carnes rojas,20.679020550000001,-103.435857799999994
"1640198",CARNICERIA SIN NOMBRE,"1","461121",Comercio al por menor de carnes rojas,20.682911170000001,-103.438074900000004
"1640170",POLLERIA PATYS,"1","461122",Comercio al por menor de carne de aves,20.679843800000000,-103.435643099999993
"6339595",ARNOLDI,"1","461160",Comercio al por menor de dulces y materias primas para reposter¡a,20.676680540000000,-103.429671900000002
"7230309",DULCERIA OCHO BOMBONES,"1","461160",Comercio al por menor de dulces y materias primas para reposter¡a,20.680912159999998,-103.435579799999999
"1652880",DULCERÖA CHILIM BALAM,"1","461160",Comercio al por menor de dulces y materias primas para reposter¡a,20.678410960000001,-103.429253299999999
"1652981",DULCE RISA,"1","461160",Comercio al por menor de dulces y materias primas para reposter¡a,20.678894730000000,-103.435883899999993
"1640218",PRODUCTOS DE LIMPIEZA,"1","467115",Comercio al por menor de art¡culos para la limpieza,20.680186350000000,-103.436684200000002
"7113027",LA CASA DEL DETERGENTE,"1","467115",Comercio al por menor de art¡culos para la limpieza,20.684504050000001,-103.437006999999994
"1699396",EZ CLEAN,"1","467115",Comercio al por menor de art¡culos para la limpieza,20.678302510000002,-103.435991799999996
"6881555",ULTRAKLIN,"1","467115",Comercio al por menor de art¡culos para la limpieza,20.679185640000000,-103.421436099999994
"1652952",LECHERIA LICONSA,"1","461150","Comercio al por menor de leche, otros productos l cteos y embutidos",20.678427520000000,-103.437243300000006
"6744223",LACTIN,"1","431160",Comercio al por mayor de leche y otros productos l cteos,20.674136170000001,-103.429739999999995
"7920422",CREMERIA ARANDAS,"1","461150","Comercio al por menor de leche, otros productos l cteos y embutidos",20.684485060000000,-103.437781900000004
"7230304",CREMERIA RUBEN,"1","461150","Comercio al por menor de leche, otros productos l cteos y embutidos",20.680506390000001,-103.436515299999996
"1699465",REAL DEL PUEBLITO,"1","461150","Comercio al por menor de leche, otros productos l cteos y embutidos",20.677167890000000,-103.436403299999995
"6342760",OXXO SUC 50NLI NOVELISTAS GDL,"2","462112",Comercio al por menor en minisupers,20.683510290000001,-103.427959799999996
"6340352",OXXO SUC 50ZBL GALERIAS GDL,"2","462112",Comercio al por menor en minisupers,20.677281369999999,-103.429526600000003
"6337135",OXXO SUC 50SKU CALANDRIAS GDL,"2","462112",Comercio al por menor en minisupers,20.683409460000000,-103.427989800000006
"6337137",OXXO SUC 50VJV STAMADELPUEBLITO GDL,"2","462112",Comercio al por menor en minisupers,20.679736080000001,-103.435709200000005
"6337488",OXXO SUC 50KLO LOMAS UNIVERSIDADGDL,"2","462112",Comercio al por menor en minisupers,20.682917180000000,-103.433073500000006
"1699400",MICKYS,"1","461160",Comercio al por menor de dulces y materias primas para reposter¡a,20.678844049999999,-103.435894500000003
"6233897",7-ELEVEN SUC. 1157 BIZET Y SANZIO,"2","462112",Comercio al por menor en minisupers,20.673373450000000,-103.430200400000004
